time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-01-25T23:46:56.486Z,13.9776,144.5881,194.79,4.6,mb,,66,0.472,0.82,us,us7000d3ag,2021-01-26T07:15:36.022Z,"57 km NNW of Asan-Maina Village, Guam",earthquake,10,5.7,0.068,64,reviewed,us,us
2021-01-25T22:02:00.713Z,60.2371,-145.9395,16.5,4.8,ml,,,,0.62,ak,ak02115pjn6u,2021-01-27T22:31:08.591Z,"35 km SSW of Cordova, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2021-01-25T21:26:08.873Z,-5.4998,151.8614,35,5.1,mb,,40,13.845,0.91,us,us7000d395,2021-01-25T21:54:18.040Z,"135 km SSW of Kokopo, Papua New Guinea",earthquake,6.8,1.9,0.05,132,reviewed,us,us
2021-01-25T20:42:07.683Z,-15.6495,-178.7347,10,5.1,mb,,96,1.459,0.58,us,us7000d38u,2021-01-25T21:14:30.040Z,"162 km SSW of Leava, Wallis and Futuna",earthquake,11.5,1.8,0.083,47,reviewed,us,us
2021-01-25T20:37:55.083Z,-17.3401,-174.1694,72.55,5,mb,,80,4.114,0.61,us,us7000d38j,2021-01-25T22:34:14.040Z,"146 km N of Neiafu, Tonga",earthquake,13.8,7.6,0.162,12,reviewed,us,us
2021-01-25T20:35:37.612Z,-23.468,-66.721,211,4.5,mb,,99,1.436,0.66,us,us7000d38f,2021-01-25T20:54:03.040Z,"92 km NNW of San Antonio de los Cobres, Argentina",earthquake,7.3,7.8,0.088,38,reviewed,us,us
2021-01-25T19:31:23.696Z,-11.4051,164.5207,10,4.8,mb,,96,4.79,0.69,us,us7000d37f,2021-01-25T20:28:24.040Z,"158 km WSW of Lata, Solomon Islands",earthquake,9.1,1.9,0.139,16,reviewed,us,us
2021-01-25T17:22:38.290Z,51.5572,177.746,45.83,4.9,mb,,122,2.147,0.86,us,us7000d36v,2021-01-25T17:56:31.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,6.7,5.5,0.032,308,reviewed,us,us
2021-01-25T14:24:44.700Z,21.7866,119.8977,10,5,mb,,100,1.5,0.54,us,us7000d34w,2021-01-25T16:23:04.218Z,"90 km WSW of Hengchun, Taiwan",earthquake,6,1.9,0.1,34,reviewed,us,us
2021-01-25T14:09:07.840Z,40.3373,142.1377,54.24,4.5,mb,,167,0.934,0.17,us,us7000d34t,2021-01-25T15:26:43.040Z,"57 km ESE of Hachinohe, Japan",earthquake,5.3,9.1,0.163,11,reviewed,us,us
